algorithm,suite,D,run,status,message,runtime,resultFile,MaxFE,nReturned,nShared,nFoundShared,peakRecall,bestConsensus,consensusGap,meanConsensus,IGDX,GDX,minDistanceToShared,ndCount,ndRatio,highConsensusRatio,HV2D
MMEAARM,5,10,1,ok,,14.3171706,D:\code\multi_party_multi_modal\hamaza_code\Results\ofec_mpmmo_platemo_1e5\tasks\MMEAARM_suite05_D10_run01.mat,100000,100,1,0,0,0.260833801844939,89.7391661981551,0.228120032688544,1.14065564779233,1.27679833398031,1.14065564779233,4,0.04,0,20.362339108328
MMEAARM,5,2,1,ok,,19.039996,D:\code\multi_party_multi_modal\hamaza_code\Results\ofec_mpmmo_platemo_1e5\tasks\MMEAARM_suite05_D2_run01.mat,100000,100,1,1,1,89.9999856346562,1.43653437731928e-05,76.9092319280496,2.70956208910139e-05,0.0576676316058617,2.70956208910139e-05,10,0.1,0.8,8099.99801519
MMEAARM,5,3,1,ok,,19.4681577,D:\code\multi_party_multi_modal\hamaza_code\Results\ofec_mpmmo_platemo_1e5\tasks\MMEAARM_suite05_D3_run01.mat,100000,99,1,1,1,87.9666391129227,2.03336088707731,59.8531649612484,0.0189415317896286,0.361209322784406,0.0189415317896286,11,0.111111111111111,0.111111111111111,7937.74056198582
MMEAARM,5,5,1,ok,,16.7967435,D:\code\multi_party_multi_modal\hamaza_code\Results\ofec_mpmmo_platemo_1e5\tasks\MMEAARM_suite05_D5_run01.mat,100000,96,1,1,1,89.9039449539629,0.0960550460371081,47.4281352423319,0.00120772990159299,0.458997662193479,0.00120772990159299,10,0.104166666666667,0.5,8095.76204894952
MMEAARM,6,10,1,error,位置 1 处的索引超出数组边界。索引不能超过 7。,3.0127914,D:\code\multi_party_multi_modal\hamaza_code\Results\ofec_mpmmo_platemo_1e5\tasks\MMEAARM_suite06_D10_run01.mat,100000,0,2,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
MMEAARM,6,2,1,ok,,19.7980729,D:\code\multi_party_multi_modal\hamaza_code\Results\ofec_mpmmo_platemo_1e5\tasks\MMEAARM_suite06_D2_run01.mat,100000,96,2,2,1,89.9908959133772,0.00910408662275586,89.8161563777282,0.000863442724412773,0.00182392573263827,0.000797593797549248,13,0.135416666666667,1,8099.70581049671
MMEAARM,6,3,1,ok,,16.8829371,D:\code\multi_party_multi_modal\hamaza_code\Results\ofec_mpmmo_platemo_1e5\tasks\MMEAARM_suite06_D3_run01.mat,100000,96,2,1,0.5,89.5187594474694,0.481240552530565,30.6374292643818,0.00730370486423695,0.308334211909618,0.00199896798173858,6,0.0625,0.166666666666667,8054.22359608071
MMEAARM,6,5,1,ok,,18.8831918,D:\code\multi_party_multi_modal\hamaza_code\Results\ofec_mpmmo_platemo_1e5\tasks\MMEAARM_suite06_D5_run01.mat,100000,98,2,2,1,89.9754230203946,0.0245769796054134,65.4867970151427,0.000782981959391465,0.153101822161307,0.000552095229706823,1,0.0102040816326531,0.693877551020408,8095.9707888937
MMEAARM,7,10,1,ok,,13.7355055,D:\code\multi_party_multi_modal\hamaza_code\Results\ofec_mpmmo_platemo_1e5\tasks\MMEAARM_suite07_D10_run01.mat,100000,63,2,0,0,0.941693935511324,89.0583060644887,0.370347422690295,0.802703496521915,0.996523512525654,0.732834000474148,5,0.0793650793650794,0,12.7337656864664
MMEAARM,7,2,1,ok,,170.1470697,D:\code\multi_party_multi_modal\hamaza_code\Results\ofec_mpmmo_platemo_1e5\tasks\MMEAARM_suite07_D2_run01.mat,100000,100,2,2,1,89.9957246497746,0.00427535022537029,85.0524158396637,0.00180082895085786,0.0334031676433868,0.000813461182509707,18,0.18,0.9,8099.79648774498
MMEAARM,7,3,1,ok,,18.3215849,D:\code\multi_party_multi_modal\hamaza_code\Results\ofec_mpmmo_platemo_1e5\tasks\MMEAARM_suite07_D3_run01.mat,100000,99,2,2,1,89.9997078545791,0.000292145420900169,87.4847051870298,0.00656225397212278,0.0183253130873256,0.000185669899425224,11,0.111111111111111,0.888888888888889,8099.96466214633
MMEAARM,7,5,1,ok,,15.9706864,D:\code\multi_party_multi_modal\hamaza_code\Results\ofec_mpmmo_platemo_1e5\tasks\MMEAARM_suite07_D5_run01.mat,100000,96,2,2,1,89.9903477168651,0.00965228313489774,48.2451234790169,0.00079164511796402,0.276527103215728,0.000708930857936999,5,0.0520833333333333,0.489583333333333,8098.71037007894
MMEAARM,8,2,1,ok,,23.4794237,D:\code\multi_party_multi_modal\hamaza_code\Results\ofec_mpmmo_platemo_1e5\tasks\MMEAARM_suite08_D2_run01.mat,100000,99,2,2,1,89.9103903637435,0.0896096362564975,81.9398669473664,0.00811854269856727,0.0517668679569283,0.00621253056535198,11,0.111111111111111,0.636363636363636,8091.62298262821
MMEAARM,8,3,1,ok,,26.8131463,D:\code\multi_party_multi_modal\hamaza_code\Results\ofec_mpmmo_platemo_1e5\tasks\MMEAARM_suite08_D3_run01.mat,100000,96,2,2,1,89.9952811438711,0.00471885612886069,36.5171832519461,0.00722270056188159,0.328760873444288,0.000187289703513086,3,0.03125,0.145833333333333,8099.59452086662
MMEAARM,8,5,1,error,位置 1 处的逻辑索引包含一个在数组边界之外的 true 值。,150.1450033,D:\code\multi_party_multi_modal\hamaza_code\Results\ofec_mpmmo_platemo_1e5\tasks\MMEAARM_suite08_D5_run01.mat,100000,0,2,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
