# Party-0 landscape F0(x) D=3 (slice: x0-x1, others=0.5)
# x0 x1 value
0.060606 0.141414 11.196995
0.060606 0.151515 9.212107
0.060606 0.161616 4.005803
0.060606 0.171717 0.550368
0.060606 0.181818 0.550368
0.060606 0.191919 0.550368
0.060606 0.202020 0.550368
0.060606 0.212121 0.550368
0.060606 0.222222 0.550368
0.060606 0.232323 0.550368
0.060606 0.242424 0.550368
0.060606 0.252525 0.550368
0.060606 0.262626 0.550368
0.060606 0.272727 0.550368
0.060606 0.282828 0.550368
0.060606 0.292929 0.550368
0.060606 0.303030 0.550368
0.060606 0.313131 0.550368
0.060606 0.323232 0.550368
0.060606 0.333333 0.550368
0.060606 0.343434 0.550368
0.060606 0.353535 0.550368
0.060606 0.363636 0.550368
0.060606 0.373737 0.550368
0.060606 0.383838 0.550368
0.060606 0.393939 0.550368
0.060606 0.404040 0.550368
0.060606 0.414141 0.550368
0.060606 0.424242 0.550368
0.060606 0.434343 0.550368
0.060606 0.444444 0.550368
0.060606 0.454545 0.550368
0.060606 0.464646 0.550368
0.060606 0.474747 0.550368
0.060606 0.484848 0.550368
0.060606 0.494949 0.550368
0.060606 0.505051 0.550368
0.060606 0.515152 0.550368
0.060606 0.525253 0.550368
0.060606 0.535354 0.550368
0.060606 0.545455 0.550368
0.060606 0.555556 0.550368
0.060606 0.565657 0.550368
0.060606 0.575758 0.550368
0.060606 0.585859 0.550368
0.060606 0.595960 4.333463
0.060606 0.606061 4.333463
0.060606 0.616162 6.556135
0.060606 0.626263 6.414461
0.060606 0.636364 4.333463
0.060606 0.646465 4.333463
0.060606 0.656566 5.827093
0.060606 0.666667 7.778163
0.060606 0.676768 6.793209
0.060606 0.686869 5.422344
0.060606 0.696970 5.816116
0.060606 0.707071 7.471912
0.060606 0.717172 8.233010
0.060606 0.727273 7.450895
0.060606 0.737374 6.980892
0.060606 0.747475 7.784581
0.060606 0.757576 9.028017
0.060606 0.767677 9.368354
0.060606 0.777778 9.096794
0.060606 0.787879 9.353043
0.060606 0.797980 10.213148
0.060606 0.808081 10.902316
0.060606 0.818182 11.242598
0.060606 0.828283 11.150239
0.060606 0.838384 4.862829
0.060606 0.848485 4.333463
0.060606 0.858586 4.333463
0.060606 0.868687 4.333463
0.060606 0.878788 4.333463
0.060606 0.888889 4.333463
0.060606 0.898990 4.333463
0.060606 0.909091 4.333463
0.060606 0.919192 4.333463
0.060606 0.929293 4.333463
0.060606 0.939394 4.333463
0.060606 0.949495 4.333463
0.060606 0.959596 4.333463
0.060606 0.969697 4.333463
0.060606 0.979798 4.333463
0.060606 0.989899 4.333463
0.060606 1.000000 4.333463
0.070707 0.000000 1.853306
0.070707 0.010101 2.804095
0.070707 0.020202 2.459201
0.070707 0.030303 3.000681
0.070707 0.040404 3.220437
0.070707 0.050505 3.284434
0.070707 0.060606 4.038102
0.070707 0.070707 3.751463
0.070707 0.080808 4.808639
0.070707 0.090909 4.458719
0.070707 0.101010 5.503196
0.070707 0.111111 5.398728
0.070707 0.121212 6.197460
0.070707 0.131313 6.480087
0.070707 0.141414 7.032837
0.070707 0.151515 5.906788
0.070707 0.161616 2.860228
0.070707 0.171717 0.550368
0.070707 0.181818 0.550368
0.070707 0.191919 0.550368
0.070707 0.202020 0.550368
0.070707 0.212121 0.550368
0.070707 0.222222 0.550368
0.070707 0.232323 0.550368
0.070707 0.242424 0.550368
0.070707 0.252525 0.550368
0.070707 0.262626 0.550368
0.070707 0.272727 0.550368
0.070707 0.282828 0.550368
0.070707 0.292929 0.550368
0.070707 0.303030 0.550368
0.070707 0.313131 0.550368
0.070707 0.323232 0.550368
0.070707 0.333333 0.550368
0.070707 0.343434 0.550368
0.070707 0.353535 0.550368
0.070707 0.363636 0.550368
0.070707 0.373737 0.550368
0.070707 0.383838 0.550368
0.070707 0.393939 0.550368
0.070707 0.404040 0.550368
0.070707 0.414141 0.550368
0.070707 0.424242 0.550368
0.070707 0.434343 0.550368
0.070707 0.444444 0.550368
0.070707 0.454545 0.550368
0.070707 0.464646 0.550368
0.070707 0.474747 0.550368
0.070707 0.484848 0.550368
0.070707 0.494949 0.550368
0.070707 0.505051 0.550368
0.070707 0.515152 0.550368
0.070707 0.525253 0.550368
0.070707 0.535354 0.550368
0.070707 0.545455 0.550368
0.070707 0.555556 0.550368
0.070707 0.565657 0.550368
0.070707 0.575758 0.550368
0.070707 0.585859 0.550368
0.070707 0.595960 4.333463
0.070707 0.606061 4.333463
0.070707 0.616162 6.255190
0.070707 0.626263 6.397731
0.070707 0.636364 4.333463
0.070707 0.646465 4.333463
0.070707 0.656566 6.505397
0.070707 0.666667 10.286385
0.070707 0.676768 8.911081
0.070707 0.686869 6.389469
0.070707 0.696970 7.379817
